dataset,training_ratio,model,training_time,predict_time,error,model_size
cancer,1,QDA,0.005590021000000056,0.0003126459999999165,0.04824561403508776,1860.0
cancer,1,LDA,0.028838812499999977,0.00016339600000003784,0.06578947368421051,960.0
cancer,1,Decicision Tree,0.013901250500000017,0.00025060350000005727,0.06578947368421051,40.0
cancer,1,Random Forrest,0.1445169165000001,0.003855353999999922,0.0482456140350877,6604.0
cancer,1,SVM,0.0037308544999999915,9.468749999985704e-05,0.057017543859649134,60.0
cancer,1,AdaBoost,0.3642461039999999,0.009091750000000176,0.04385964912280704,1498.0
cancer,1,kNN,0.00044018749999996665,0.02718783299999994,0.08771929824561403,0
cancer,1,Logistic Regression,0.026257895500000017,0.00015710399999990798,0.07456140350877194,0
